Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;
Jhohan Romaña;co COL;DF;26-036;15;15;1,349;15.0;0;0;0;0;0;0;5;0;0.3;0.3;0.0;0.3;12;44;3;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
Gastón Campi;ar ARG;DF;33-196;15;14;1,304;14.5;1;1;2;1;0;0;4;0;0.7;0.7;0.4;1.1;15;63;4;0.07;0.07;0.14;0.07;0.14;0.05;0.03;0.08;0.05;0.08;Matches
Elian Irala;ar ARG;MF;20-105;15;14;1,153;12.8;2;0;2;2;0;0;1;0;0.5;0.5;0.2;0.7;12;48;24;0.16;0.00;0.16;0.16;0.16;0.04;0.02;0.06;0.04;0.06;Matches
Alexis Cuello;ar ARG;FW,MF;24-244;16;13;1,192;13.2;2;0;2;2;0;0;1;0;2.7;2.7;0.8;3.6;25;13;103;0.15;0.00;0.15;0.15;0.15;0.21;0.06;0.27;0.21;0.27;Matches
Ivan Leguizamon;py PAR;MF,FW;22-108;15;12;892;9.9;2;1;3;0;2;2;0;0;2.2;0.6;1.3;2.0;21;28;79;0.20;0.10;0.30;0.00;0.10;0.22;0.13;0.36;0.07;0.20;Matches
Gastón Gómez;ar ARG;GK;28-229;9;9;810;9.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Eric Remedi;ar ARG;MF;29-137;12;9;795;8.8;0;0;0;0;0;0;2;0;0.2;0.2;0.2;0.4;8;54;3;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.05;0.02;0.05;Matches
Elías Báez;ar ARG;DF;20-001;10;9;759;8.4;0;0;0;0;0;0;2;0;0.1;0.1;0.1;0.2;7;28;23;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.03;0.01;0.03;Matches
Malcom Braida;ar ARG;DF;27-155;9;8;760;8.4;0;0;0;0;0;0;3;0;0.7;0.7;0.6;1.2;14;43;52;0.00;0.00;0.00;0.00;0.00;0.08;0.07;0.14;0.08;0.14;Matches
Gonzalo Luján;ar ARG;DF;23-175;12;8;721;8.0;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;5;42;17;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
Facundo Altamirano;ar ARG;GK;28-212;7;7;630;7.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Oscar Arias;ar ARG;DF;19-291;7;7;546;6.1;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.3;3;25;23;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.05;0.03;0.05;Matches
Nahuel Barrios;ar ARG;MF,FW;26-165;12;7;534;5.9;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;21;34;41;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07;Matches
Matías Reali;ar ARG;FW,MF;26-340;9;6;543;6.0;0;0;0;0;0;0;0;0;0.4;0.4;0.5;0.9;19;10;46;0.00;0.00;0.00;0.00;0.00;0.07;0.09;0.16;0.07;0.16;Matches
Cristian Tarragona;ar ARG;FW;33-193;7;6;485;5.4;1;1;2;1;0;0;2;0;2.1;2.1;0.7;2.8;2;5;41;0.19;0.19;0.37;0.19;0.37;0.39;0.12;0.51;0.39;0.51;Matches
Nicolás Tripichio;ar ARG;MF,DF;28-288;6;6;415;4.6;0;1;1;0;0;0;1;0;0.0;0.0;0.5;0.5;8;25;14;0.00;0.22;0.22;0.00;0.22;0.00;0.11;0.11;0.00;0.11;Matches
Santiago Sosa;ar ARG;MF;19-263;10;5;428;4.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;1;13;3;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;Matches
Ezequiel Cerutti;ar ARG;FW,MF;32-276;7;5;327;3.6;0;0;0;0;0;0;1;0;0.2;0.2;0.2;0.4;6;8;28;0.00;0.00;0.00;0.00;0.00;0.06;0.07;0.13;0.06;0.13;Matches
Nahuel Bustos;ar ARG;MF;26-107;9;3;426;4.7;0;0;0;0;0;0;1;0;1.3;1.3;0.7;2.0;9;19;22;0.00;0.00;0.00;0.00;0.00;0.28;0.15;0.43;0.28;0.43;Matches
Daniel Herrera;ar ARG;DF;20-256;7;3;296;3.3;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;1;11;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
Andrés Vombergar;si SVN;FW,MF;29-334;8;2;284;3.2;1;0;1;0;1;1;1;0;1.1;0.3;0.1;0.4;1;4;18;0.32;0.00;0.32;0.00;0.00;0.34;0.04;0.38;0.09;0.13;Matches
Iker Muniain;es ESP;FW,MF;31-305;4;2;230;2.6;2;0;2;1;1;1;0;0;1.4;0.6;0.5;1.0;1;12;7;0.78;0.00;0.78;0.39;0.39;0.53;0.18;0.71;0.22;0.40;Matches
Cristian Ferreira;ar ARG;MF;25-037;4;2;215;2.4;1;0;1;1;0;0;1;0;0.3;0.3;0.2;0.5;3;18;18;0.42;0.00;0.42;0.42;0.42;0.14;0.08;0.22;0.14;0.22;Matches
Agustín Giay;ar ARG;DF;20-277;2;2;180;2.0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;6;14;5;0.00;0.00;0.00;0.00;0.00;0.06;0.04;0.10;0.06;0.10;Matches
Francisco Perruzzi;ar ARG;MF,FW;23-047;5;2;143;1.6;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;0;9;0;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
Iván Tapia;ar ARG;MF;25-331;2;2;127;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.3;0.3;1;10;7;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.20;0.00;0.20;Matches
Sebastián Blanco;ar ARG;MF;36-218;7;1;141;1.6;1;0;1;1;0;0;2;0;0.2;0.2;0.1;0.3;8;17;17;0.64;0.00;0.64;0.64;0.64;0.12;0.08;0.20;0.12;0.20;Matches
Diego Herazo;co COL;FW,MF;28-188;5;1;136;1.5;0;0;0;0;0;0;1;0;0.3;0.3;0.5;0.7;1;1;8;0.00;0.00;0.00;0.00;0.00;0.17;0.30;0.48;0.17;0.48;Matches
Adam Bareiro;py PAR;FW;28-085;2;1;135;1.5;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;1;1;8;0.00;0.00;0.00;0.00;0.00;0.06;0.07;0.13;0.06;0.13;Matches
Mateo Clemente;;GK;;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Nicolás Hernández;co COL;DF;26-275;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;13;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Carlos Sánchez;co COL;DF,MF;38-256;1;1;90;1.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;10;1;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
Francisco Fydriszewski;ar ARG;FW;31-189;4;0;95;1.1;0;0;0;0;0;1;0;0;0.0;0.0;0.1;0.1;0;1;5;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.09;0.03;0.09;Matches
Tobías Medina;ar ARG;MF,FW;20-230;2;0;55;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;4;4;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.15;Matches
Tomás Porra;ar ARG;MF;20-284;3;0;39;0.4;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;2;1;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.43;0.43;0.43;Matches
